source_file,calculation_group,calculation_type,status,cityp,scftyp,basis,n_shells,n_basis_functions,n_electrons_total,ncore,nact,nels_active,nstate,determinant_count,csf_singlet_count,csf_triplet_count,has_polarization_functions,has_diffuse_functions,evidence
extended_scan/lif_coarse.out,extended_scan,unknown,incomplete,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,4,,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 73; TOTAL NUMBER OF SHELLS: lines 214
lif_scan/LiF_CI.out,lif_scan,surface,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 221; \$BASIS REQUESTS: lines 109; \$CIDET: lines 79; TOTAL NUMBER OF SHELLS: lines 220
new_runs/scan_crossing/lif_crossing_scan.out,scan_crossing,surface,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 219; \$BASIS REQUESTS: lines 107; \$CIDET: lines 77; TOTAL NUMBER OF SHELLS: lines 218
new_runs/scan_dissociation/lif_dissociation_scan.out,scan_dissociation,surface,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; TOTAL NUMBER OF SHELLS: lines 214
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3337996,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 219; \$BASIS REQUESTS: lines 107; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1194; TOTAL NUMBER OF SHELLS: lines 218
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1195; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1190; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 219; \$BASIS REQUESTS: lines 107; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1198; TOTAL NUMBER OF SHELLS: lines 218
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 219; \$BASIS REQUESTS: lines 107; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1197; TOTAL NUMBER OF SHELLS: lines 218
new_runs/single_points_properties/outputs/lif_sp_R_5_65.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1193; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_5_70.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1193; TOTAL NUMBER OF SHELLS: lines 214
new_runs/single_points_properties/outputs/lif_sp_R_5_75.out,single_points_properties,single_point,normal,ALDET,RHF,ACC-PVDZ,18,50,12,3,29,6,3,3340156,,,True,True,TOTAL NUMBER OF BASIS FUNCTIONS: lines 215; \$BASIS REQUESTS: lines 103; \$CIDET: lines 77; THE NUMBER OF DETERMINANTS: lines 1192; TOTAL NUMBER OF SHELLS: lines 214
