source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,energy_rel_eV,gap_to_previous_Ha,gap_to_previous_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,multiplicity,s2,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,charge_Li,charge_F,natural_occupation_summary,notes
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.500000,1,-103.557233681600,93.23695763,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.500000,2,-103.454845205800,96.02308999,0.102388475800,2.78613236,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.500000,3,-103.435240915600,96.55654990,0.019604290200,0.53345991,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.750000,1,-105.749356405000,33.58625950,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.750000,2,-105.645724206000,36.40623530,0.103632199000,2.81997579,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,0.750000,3,-105.606425452800,37.47560885,0.039298753200,1.06937355,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.000000,1,-106.655022434100,8.94183137,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.000000,2,-106.391051281500,16.12485237,0.263971152600,7.18302099,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.000000,3,-106.386641393400,16.24485153,0.004409888100,0.11999917,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.250000,1,-106.919875904000,1.73480131,,,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.250000,2,-106.636941970700,9.43382585,0.282933933300,7.69902454,,,,,,,,,,,,,,surface_scan
lif_scan/LiF_CI.out,lif_scan,surface,normal,1.250000,3,-106.634899996000,9.48939081,0.002041974700,0.05556496,,,,,,,,,,,,,,surface_scan
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.300000,1,-106.940928693200,1.16192573,,,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,1,-106.940928693400,1.16192572,,,5.20477300,0.00000000,0.00000000,-5.20477300,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,0.99177090,,,0.53333100,-0.53333100,2.0000 2.0000 2.0000 1.9946 1.9881,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.300000,2,-106.660578389600,8.79064612,0.280350303600,7.62872040,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,8.79064608,0.280350302200,7.62872036,,,,,3.000,2.000000,01110000000000000000000000000|11100000000000000000000000000,-0.49013760,11100000000000000000000000000|01110000000000000000000000000,0.49013760,,,,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.300000,3,-106.658587609600,8.84481801,0.001990780000,0.05417188,,,,,,,,,,,,,,surface_scan
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,8.84481796,0.001990779800,0.05417188,,,,,1.000,0.000000,11100000000000000000000000000|01110000000000000000000000000,-0.49635660,01110000000000000000000000000|11100000000000000000000000000,-0.49635660,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,1,-106.968001152700,0.42524658,,,5.61444700,0.00000000,0.00000000,-5.61444700,1.000,0.000000,11100000000000000000000000000|11100000000000000000000000000,0.99098590,,,0.58635700,-0.58635700,2.0000 2.0000 2.0000 1.9924 1.9880,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,2,-106.695619724400,7.83712283,0.272381428300,7.41187625,,,,,3.000,2.000000,11100000000000000000000000000|01110000000000000000000000000,-0.50759350,01110000000000000000000000000|11100000000000000000000000000,0.50759350,,,,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,single_points_properties,single_point,normal,1.400000,3,-106.693581980400,7.89257267,0.002037744000,0.05544984,,,,,1.000,0.000000,01110000000000000000000000000|11100000000000000000000000000,0.51426580,11100000000000000000000000000|01110000000000000000000000000,0.51426580,,,,ci_eigenvector
new_runs/scan_selected/lif_selected_scan.out,scan_selected,surface,normal,1.400000,1,-106.968001152700,0.42524658,,,,,,,,,,,,,,,,surface_scan
