source_file,calculation_group,calculation_type,status,R_A,state,energy_Ha,spin_S,multiplicity,alpha,beta,coefficient,weight,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,1,-106.940928693400,0.000,1.000,11100000000000000000000000000,11100000000000000000000000000,0.99177090,0.98360952,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01110000000000000000000000000,11100000000000000000000000000,-0.49013760,0.24023487,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01110000000000000000000000000,0.49013760,0.24023487,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100001000000000000000000000,11100000000000000000000000000,-0.28853470,0.08325227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100001000000000000000000000,0.28853470,0.08325227,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100000001000000000000000000,11100000000000000000000000000,0.24411750,0.05959335,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100000001000000000000000000,-0.24411750,0.05959335,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100010000000000000000000000,11100000000000000000000000000,0.23202620,0.05383616,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100010000000000000000000000,-0.23202620,0.05383616,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100000000000001000000000000,11100000000000000000000000000,0.12006570,0.01441577,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100000000000001000000000000,-0.12006570,0.01441577,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100000000000000001000000000,11100000000000000000000000000,0.08146720,0.00663690,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100000000000000001000000000,-0.08146720,0.00663690,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01100000000001000000000000000,11100000000000000000000000000,-0.05505500,0.00303105,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11100000000000000000000000000,01100000000001000000000000000,0.05505500,0.00303105,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01110000000000000000000000000,11000000000000000010000000000,0.05192970,0.00269669,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,01110000000000000000000000000,10100000000000000100000000000,-0.05192970,0.00269669,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,11000000000000000010000000000,01110000000000000000000000000,-0.05192970,0.00269669,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,2,-106.660578391200,1.000,3.000,10100000000000000100000000000,01110000000000000000000000000,0.05192970,0.00269669,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01110000000000000000000000000,-0.49635660,0.24636987,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01110000000000000000000000000,11100000000000000000000000000,-0.49635660,0.24636987,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100001000000000000000000000,-0.29154010,0.08499563,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100001000000000000000000000,11100000000000000000000000000,-0.29154010,0.08499563,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100000001000000000000000000,0.23425570,0.05487573,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100000001000000000000000000,11100000000000000000000000000,0.23425570,0.05487573,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100010000000000000000000000,0.23179710,0.05372990,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100010000000000000000000000,11100000000000000000000000000,0.23179710,0.05372990,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100000000000001000000000000,0.11802670,0.01393030,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100000000000001000000000000,11100000000000000000000000000,0.11802670,0.01393030,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100000000000000001000000000,0.07103640,0.00504617,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100000000000000001000000000,11100000000000000000000000000,0.07103640,0.00504617,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,11100000000000000000000000000,01100000000001000000000000000,-0.05832640,0.00340197,printed_ci_coefficient_threshold_from_output
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,single_points_properties,single_point,normal,1.300000,3,-106.658587611400,0.000,1.000,01100000000001000000000000000,11100000000000000000000000000,-0.05832640,0.00340197,printed_ci_coefficient_threshold_from_output
