source_file,R_A,state,energy_Ha,energy_rel_eV,dipole_D,dipole_x_D,dipole_y_D,dipole_z_D,charge_Li,charge_F,s2,multiplicity,leading_configuration,leading_ci_coefficient,second_configuration,second_ci_coefficient,natural_occupation_summary,status,notes
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,1.300000,1,-106.940928693400,1.16192572,5.20477300,0.00000000,0.00000000,-5.20477300,0.53333100,-0.53333100,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.99177090,,,2.0000 2.0000 2.0000 1.9946 1.9881,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,1.300000,2,-106.660578391200,8.79064608,,,,,,,2.000000,3.000,01110000000000000000000000000|11100000000000000000000000000,-0.49013760,11100000000000000000000000000|01110000000000000000000000000,0.49013760,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_30.out,1.300000,3,-106.658587611400,8.84481796,,,,,,,0.000000,1.000,11100000000000000000000000000|01110000000000000000000000000,-0.49635660,01110000000000000000000000000|11100000000000000000000000000,-0.49635660,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,1.400000,1,-106.968001152700,0.42524658,5.61444700,0.00000000,0.00000000,-5.61444700,0.58635700,-0.58635700,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.99098590,,,2.0000 2.0000 2.0000 1.9924 1.9880,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,1.400000,2,-106.695619724400,7.83712283,,,,,,,2.000000,3.000,11100000000000000000000000000|01110000000000000000000000000,-0.50759350,01110000000000000000000000000|11100000000000000000000000000,0.50759350,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_40.out,1.400000,3,-106.693581980400,7.89257267,,,,,,,0.000000,1.000,01110000000000000000000000000|11100000000000000000000000000,0.51426580,11100000000000000000000000000|01110000000000000000000000000,0.51426580,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,1.500000,1,-106.980387499000,0.08819692,6.03843200,0.00000000,0.00000000,-6.03843200,0.63551000,-0.63551000,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.99016620,,,2.0000 2.0000 2.0000 1.9909 1.9874,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,1.500000,2,-106.718439369500,7.21616865,,,,,,,2.000000,3.000,11100000000000000000000000000|01110000000000000000000000000,0.52320180,01110000000000000000000000000|11100000000000000000000000000,-0.52320180,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_50.out,1.500000,3,-106.716138735200,7.27877210,,,,,,,0.000000,1.000,01110000000000000000000000000|11100000000000000000000000000,-0.53079660,11100000000000000000000000000|01110000000000000000000000000,-0.53079660,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,1.600000,1,-106.983628672600,0.00000010,6.46386200,0.00000000,0.00000000,-6.46386200,0.67339400,-0.67339400,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.98931890,,,2.0000 2.0000 2.0000 1.9892 1.9869,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,1.600000,2,-106.733594631600,6.80377296,,,,,,,2.000000,3.000,01110000000000000000000000000|11100000000000000000000000000,0.53700660,11100000000000000000000000000|01110000000000000000000000000,-0.53700660,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_60.out,1.600000,3,-106.730905397900,6.87695074,,,,,,,0.000000,1.000,11100000000000000000000000000|01110000000000000000000000000,0.54552890,01110000000000000000000000000|11100000000000000000000000000,0.54552890,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,1.700000,1,-106.981032272600,0.07065174,6.89168700,0.00000000,0.00000000,-6.89168700,0.69837800,-0.69837800,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.98849790,,,2.0000 2.0000 2.0000 1.9875 1.9864,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,1.700000,2,-106.743701022100,6.52876406,,,,,,,2.000000,3.000,11100000000000000000000000000|01110000000000000000000000000,0.54909790,01110000000000000000000000000|11100000000000000000000000000,-0.54909790,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_70.out,1.700000,3,-106.740548110600,6.61455916,,,,,,,0.000000,1.000,01110000000000000000000000000|11100000000000000000000000000,-0.55850370,11100000000000000000000000000|01110000000000000000000000000,-0.55850370,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,1.800000,1,-106.974784590700,0.24065982,7.32358100,0.00000000,0.00000000,-7.32358100,0.71225300,-0.71225300,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.98774190,,,2.0000 2.0000 2.0000 1.9861 1.9861,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,1.800000,2,-106.750327532100,6.34844754,,,,,,,2.000000,3.000,01110000000000000000000000000|11100000000000000000000000000,0.55932340,11100000000000000000000000000|01110000000000000000000000000,-0.55932340,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_1_80.out,1.800000,3,-106.746670705900,6.44795485,,,,,,,0.000000,1.000,11100000000000000000000000000|01110000000000000000000000000,-0.56975990,01110000000000000000000000000|11100000000000000000000000000,-0.56975990,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,4.500000,1,-106.808420404200,4.76765996,20.23930100,0.00000000,0.00000000,-20.23930100,0.92531700,-0.92531700,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.97271020,11010000000000000000000000000|11100000000000000000000000000,0.08210230,2.0000 2.0000 2.0000 1.9833 1.9833,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,4.500000,2,-106.771739266200,5.76580457,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,0.63400780,11010000000000000000000000000|11100000000000000000000000000,-0.63400780,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_4_50.out,4.500000,3,-106.769486885700,5.82709497,,,,,,,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,0.63469650,11100000000000000000000000000|11010000000000000000000000000,0.63469650,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,5.000000,1,-106.795476558300,5.11987995,22.63594500,0.00000000,0.00000000,-22.63594500,0.93377000,-0.93377000,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.97051150,11100000000000000000000000000|11010000000000000000000000000,0.09741090,2.0000 2.0000 2.0000 1.9835 1.9835,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,5.000000,2,-106.771407520000,5.77483185,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.64349150,11100000000000000000000000000|11010000000000000000000000000,0.64349150,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_00.out,5.000000,3,-106.770018540900,5.81262789,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.63900360,11010000000000000000000000000|11100000000000000000000000000,0.63900360,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,5.300000,1,-106.788958436800,5.29724707,23.97423600,0.00000000,0.00000000,-23.97423600,0.93399500,-0.93399500,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.96782770,11010000000000000000000000000|11100000000000000000000000000,0.11086020,2.0000 2.0000 2.0000 1.9835 1.9835,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,5.300000,2,-106.771197420400,5.78054895,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.64812300,11100000000000000000000000000|11010000000000000000000000000,-0.64812300,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_30.out,5.300000,3,-106.770128250100,5.80964256,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.64048070,11010000000000000000000000000|11100000000000000000000000000,-0.64048070,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,5.500000,1,-106.785040242100,5.40386658,24.76867600,0.00000000,0.00000000,-24.76867600,0.93023600,-0.93023600,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.96452300,11100000000000000000000000000|11010000000000000000000000000,-0.12412240,2.0000 2.0000 2.0000 1.9834 1.9834,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,5.500000,2,-106.771057842500,5.78434706,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65088020,11100000000000000000000000000|11010000000000000000000000000,-0.65088020,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_50.out,5.500000,3,-106.770133262500,5.80950616,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.64036490,11010000000000000000000000000|11100000000000000000000000000,0.64036490,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,5.600000,1,-106.783197728900,5.45400392,25.11072000,0.00000000,0.00000000,-25.11072000,0.92629600,-0.92629600,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.96197270,11100000000000000000000000000|11010000000000000000000000000,0.13301190,2.0000 2.0000 2.0000 1.9833 1.9833,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,5.600000,2,-106.770989154200,5.78621616,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65217840,11100000000000000000000000000|11010000000000000000000000000,-0.65217840,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_60.out,5.600000,3,-106.770117169200,5.80994408,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.63968280,11010000000000000000000000000|11100000000000000000000000000,-0.63968280,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_65.out,5.650000,1,-106.782304495900,5.47831003,25.26077700,0.00000000,0.00000000,-25.26077700,0.92358600,-0.92358600,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.96035500,11100000000000000000000000000|11010000000000000000000000000,0.13828500,2.0000 2.0000 2.0000 1.9833 1.9833,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_65.out,5.650000,2,-106.770955225400,5.78713941,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.65279040,11100000000000000000000000000|11010000000000000000000000000,0.65279040,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_65.out,5.650000,3,-106.770104419800,5.81029101,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.63909460,11010000000000000000000000000|11100000000000000000000000000,-0.63909460,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_70.out,5.700000,1,-106.781429719700,5.50211390,25.39228800,0.00000000,0.00000000,-25.39228800,0.92022400,-0.92022400,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.95843020,11100000000000000000000000000|11010000000000000000000000000,-0.14424670,2.0000 2.0000 2.0000 1.9832 1.9832,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_70.out,5.700000,2,-106.770921719500,5.78805115,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,0.65338570,11100000000000000000000000000|11010000000000000000000000000,-0.65338570,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_70.out,5.700000,3,-106.770088472800,5.81072495,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,0.63829930,11010000000000000000000000000|11100000000000000000000000000,0.63829930,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_75.out,5.750000,1,-106.780573329900,5.52541745,25.50051600,0.00000000,0.00000000,-25.50051600,0.91605100,-0.91605100,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,0.95611720,11100000000000000000000000000|11010000000000000000000000000,0.15103510,2.0000 2.0000 2.0000 1.9831 1.9831,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_75.out,5.750000,2,-106.770888670700,5.78895046,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.65396450,11100000000000000000000000000|11010000000000000000000000000,0.65396450,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_75.out,5.750000,3,-106.770069114600,5.81125171,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.63724210,11010000000000000000000000000|11100000000000000000000000000,-0.63724210,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_80.out,5.800000,1,-106.779735367800,5.54821957,25.57910600,0.00000000,0.00000000,-25.57910600,0.91086200,-0.91086200,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.95331160,11100000000000000000000000000|11010000000000000000000000000,-0.15883290,2.0000 2.0000 2.0000 1.9830 1.9830,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_80.out,5.800000,2,-106.770856110300,5.78983647,,,,,,,2.000000,3.000,11010000000000000000000000000|11100000000000000000000000000,-0.65450320,11100000000000000000000000000|11010000000000000000000000000,0.65450320,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_80.out,5.800000,3,-106.770046016100,5.81188026,,,,,,,0.000000,1.000,11100000000000000000000000000|11010000000000000000000000000,-0.63583270,11010000000000000000000000000|11100000000000000000000000000,-0.63583270,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_85.out,5.850000,1,-106.778916046100,5.57051444,25.61938100,0.00000000,0.00000000,-25.61938100,0.90435700,-0.90435700,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.94985420,11010000000000000000000000000|11100000000000000000000000000,0.16785040,2.0000 2.0000 2.0000 1.9829 1.9829,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_85.out,5.850000,2,-106.770824080500,5.79070805,,,,,,,2.000000,3.000,11100000000000000000000000000|11010000000000000000000000000,-0.65505030,11010000000000000000000000000|11100000000000000000000000000,0.65505030,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_85.out,5.850000,3,-106.770018732600,5.81262268,,,,,,,0.000000,1.000,11010000000000000000000000000|11100000000000000000000000000,-0.63400920,11100000000000000000000000000|11010000000000000000000000000,-0.63400920,,normal,ci_eigenvector
new_runs/single_points_properties/outputs/lif_sp_R_5_90.out,5.900000,1,-106.778115801600,5.59229021,25.60930200,0.00000000,0.00000000,-25.60930200,0.89614300,-0.89614300,0.000000,1.000,11100000000000000000000000000|11100000000000000000000000000,-0.94554090,11100000000000000000000000000|11010000000000000000000000000,0.17838150,2.0000 2.0000 2.0000 1.9827 1.9827,normal,ci_eigenvector
