R_A,reasons,input_file
1.30,minimum,inputs/lif_sp_R_1_30.inp
1.40,minimum,inputs/lif_sp_R_1_40.inp
1.50,minimum,inputs/lif_sp_R_1_50.inp
1.60,minimum,inputs/lif_sp_R_1_60.inp
1.70,minimum,inputs/lif_sp_R_1_70.inp
1.80,minimum,inputs/lif_sp_R_1_80.inp
4.50,pre_crossing,inputs/lif_sp_R_4_50.inp
5.00,pre_crossing,inputs/lif_sp_R_5_00.inp
5.30,pre_crossing,inputs/lif_sp_R_5_30.inp
5.50,pre_crossing,inputs/lif_sp_R_5_50.inp
5.60,crossing_e3_e2,inputs/lif_sp_R_5_60.inp
5.65,auto_gap_e3_e2,inputs/lif_sp_R_5_65.inp
5.70,crossing_e3_e2,inputs/lif_sp_R_5_70.inp
5.75,auto_gap_e3_e2,inputs/lif_sp_R_5_75.inp
5.80,crossing_e3_e2,inputs/lif_sp_R_5_80.inp
5.85,auto_gap_e3_e2;crossing_e3_e2,inputs/lif_sp_R_5_85.inp
5.90,crossing_e3_e2,inputs/lif_sp_R_5_90.inp
5.95,auto_gap_e3_e2,inputs/lif_sp_R_5_95.inp
6.00,crossing_e3_e2,inputs/lif_sp_R_6_00.inp
6.05,auto_gap_e3_e2,inputs/lif_sp_R_6_05.inp
6.10,crossing_e3_e2,inputs/lif_sp_R_6_10.inp
6.20,crossing_e3_e2,inputs/lif_sp_R_6_20.inp
6.50,post_crossing,inputs/lif_sp_R_6_50.inp
7.00,post_crossing,inputs/lif_sp_R_7_00.inp
7.50,post_crossing,inputs/lif_sp_R_7_50.inp
8.00,post_crossing,inputs/lif_sp_R_8_00.inp
8.25,dissociation,inputs/lif_sp_R_8_25.inp
8.50,dissociation,inputs/lif_sp_R_8_50.inp
8.75,dissociation,inputs/lif_sp_R_8_75.inp
9.00,auto_gap_e2_e1;dissociation,inputs/lif_sp_R_9_00.inp
9.10,auto_gap_e2_e1,inputs/lif_sp_R_9_10.inp
9.20,auto_gap_e2_e1,inputs/lif_sp_R_9_20.inp
9.30,auto_gap_e2_e1,inputs/lif_sp_R_9_30.inp
9.40,auto_gap_e2_e1,inputs/lif_sp_R_9_40.inp
