R_angstrom,E_root0,E_root1,E_root2,E_root3,S2_root0,S2_root1,S2_root2,S2_root3
0.40,-0.914149703600,0.282934082600,0.611964929500,1.860704554300,NaN,NaN,NaN,NaN
0.45,-0.998415595400,0.088206603300,0.421449405200,1.558948399200,NaN,NaN,NaN,NaN
0.50,-1.055159794200,-0.070740129200,0.267000325800,1.301485706300,NaN,NaN,NaN,NaN
0.55,-1.092629906500,-0.201918404100,0.140570629800,1.080483527600,NaN,NaN,NaN,NaN
0.60,-1.116286006500,-0.310960102900,0.036501182900,0.890084640500,NaN,NaN,NaN,NaN
0.65,-1.129904784200,-0.402052010500,-0.049415108700,0.725645351900,NaN,NaN,NaN,NaN
0.70,-1.136189454200,-0.478453064600,-0.120451913800,0.583314090300,NaN,NaN,NaN,NaN
0.75,-1.137117067400,-0.542782105900,-0.179239034500,0.459804506000,NaN,NaN,NaN,NaN
0.80,-1.134147666800,-0.597177808600,-0.227924243100,0.352284556900,NaN,NaN,NaN,NaN
0.85,-1.128361878700,-0.643391554700,-0.268267860000,0.258326735200,NaN,NaN,NaN,NaN
0.90,-1.120560281800,-0.682849398300,-0.301706011600,0.175881304000,NaN,NaN,NaN,NaN
0.95,-1.111339418100,-0.716702211100,-0.329401578200,0.103249508400,NaN,NaN,NaN,NaN
1.00,-1.101150330700,-0.745871798000,-0.352290632200,0.039047621600,NaN,NaN,NaN,NaN
1.05,-1.090342176800,-0.771094320800,-0.371125789000,-0.017838186300,NaN,NaN,NaN,NaN
1.10,-1.079192945400,-0.792959701600,-0.386515249600,-0.068301305000,NaN,NaN,NaN,NaN
1.15,-1.067929659500,-0.811945350500,-0.398956001900,-0.113062887800,NaN,NaN,NaN,NaN
1.20,-1.056740746800,-0.828443349900,-0.408860413900,-0.152714367600,NaN,NaN,NaN,NaN
1.25,-1.045783145300,-0.842781199500,-0.416576397700,-0.187752078100,NaN,NaN,NaN,NaN
1.30,-1.035186267200,-0.855236943800,-0.422402025600,-0.218603559800,NaN,NaN,NaN,NaN
1.35,-1.025054363300,-0.866049868100,-0.426595797400,-0.245646433400,NaN,NaN,NaN,NaN
1.40,-1.015468250200,-0.875427941800,-0.429383764500,-0.269221311000,NaN,NaN,NaN,NaN
1.45,-1.006486932700,-0.883553050100,-0.430964532200,-0.289640307400,NaN,NaN,NaN,NaN
1.50,-0.998149354400,-0.890584784000,-0.431512912600,-0.307192509400,NaN,NaN,NaN,NaN
1.55,-0.990476342000,-0.896663333200,-0.431182750500,-0.322147431100,NaN,NaN,NaN,NaN
1.60,-0.983472730100,-0.901911822000,-0.430109251700,-0.334757186100,NaN,NaN,NaN,NaN
1.65,-0.977129617200,-0.906438291600,-0.428410999900,-0.345257837300,NaN,NaN,NaN,NaN
1.70,-0.971426689600,-0.910337435600,-0.426191759000,-0.353870222700,NaN,NaN,NaN,NaN
1.75,-0.966334546100,-0.913692147800,-0.423542107300,-0.360800449100,NaN,NaN,NaN,NaN
1.80,-0.961816954000,-0.916574908600,-0.420540922000,-0.366240180200,NaN,NaN,NaN,NaN
1.85,-0.957832969100,-0.919049024800,-0.417256722500,-0.370366821600,NaN,NaN,NaN,NaN
1.90,-0.954338855200,-0.921169735400,-0.413748880000,-0.373343684900,NaN,NaN,NaN,NaN
1.95,-0.951289760100,-0.922985191200,-0.410068697300,-0.375320191400,NaN,NaN,NaN,NaN
2.00,-0.948641113500,-0.924537321200,-0.406260371500,-0.376432163700,NaN,NaN,NaN,NaN
2.05,-0.946349738700,-0.925862594700,-0.402361845200,-0.376802231200,NaN,NaN,NaN,NaN
2.10,-0.944374682500,-0.926992693900,-0.398405561800,-0.376540359300,NaN,NaN,NaN,NaN
2.15,-0.942677787100,-0.927955104400,-0.394419131900,-0.375744494400,NaN,NaN,NaN,NaN
2.20,-0.941224035100,-0.928773636900,-0.390425924900,-0.374501307900,NaN,NaN,NaN,NaN
2.25,-0.939981706700,-0.929468886600,-0.386445592200,-0.372887013500,NaN,NaN,NaN,NaN
2.30,-0.938922387500,-0.930058640300,-0.382494531900,-0.370968228200,NaN,NaN,NaN,NaN
2.35,-0.938020866200,-0.930558234700,-0.378586302100,-0.368802851900,NaN,NaN,NaN,NaN
2.40,-0.937254954500,-0.930980873900,-0.374731987400,-0.366440937600,NaN,NaN,NaN,NaN
2.45,-0.936605257900,-0.931337909800,-0.370940525500,-0.363925534200,NaN,NaN,NaN,NaN
2.50,-0.936054921500,-0.931639088500,-0.367218996300,-0.361293483600,NaN,NaN,NaN,NaN
2.55,-0.935589366600,-0.931892766700,-0.363572878800,-0.358576163800,NaN,NaN,NaN,NaN
2.60,-0.935196032400,-0.932106101800,-0.360006278000,-0.355800169300,NaN,NaN,NaN,NaN
2.65,-0.934864130500,-0.932285217100,-0.356522124800,-0.352987926900,NaN,NaN,NaN,NaN
2.70,-0.934584417500,-0.932435346100,-0.353122352400,-0.350158247800,NaN,NaN,NaN,NaN
2.75,-0.934348989300,-0.932560957000,-0.349808051200,-0.347326817100,NaN,NaN,NaN,NaN
2.80,-0.934151097300,-0.932665860900,-0.346579603300,-0.344506625100,NaN,NaN,NaN,NaN
2.85,-0.933984986000,-0.932753304800,-0.343436801100,-0.341708346000,NaN,NaN,NaN,NaN
2.90,-0.933845752400,-0.932826052000,-0.340378950000,-0.338940667400,NaN,NaN,NaN,NaN
2.95,-0.933729222500,-0.932886451000,-0.337404957000,-0.336210577900,NaN,NaN,NaN,NaN
3.00,-0.933631846200,-0.932936495000,-0.334513408100,-0.333523615900,NaN,NaN,NaN,NaN
3.05,-0.933550606600,-0.932977872900,-0.331702634600,-0.330884086000,NaN,NaN,NaN,NaN
3.10,-0.933482942000,-0.933012013600,-0.328970770200,-0.328295246200,NaN,NaN,NaN,NaN
3.15,-0.933426679700,-0.933040123200,-0.326315799500,-0.325759469300,NaN,NaN,NaN,NaN
3.20,-0.933379979000,-0.933063218100,-0.323735600000,-0.323278383500,NaN,NaN,NaN,NaN
3.25,-0.933341282400,-0.933082152900,-0.321227976800,-0.320852993500,NaN,NaN,NaN,NaN
3.30,-0.933309274100,-0.933097644400,-0.318790692500,-0.318483784900,NaN,NaN,NaN,NaN
3.35,-0.933282844500,-0.933110292500,-0.316421491500,-0.316170814200,NaN,NaN,NaN,NaN
3.40,-0.933261059100,-0.933120597900,-0.314118120700,-0.313913786700,NaN,NaN,NaN,NaN
3.45,-0.933243132900,-0.933128977600,-0.311878346100,-0.311712122900,NaN,NaN,NaN,NaN
3.50,-0.933228407200,-0.933135778000,-0.309699966200,-0.309565015500,NaN,NaN,NaN,NaN
3.55,-0.933216330900,-0.933141286000,-0.307580822700,-0.307471477900,NaN,NaN,NaN,NaN
3.60,-0.933206443600,-0.933145738800,-0.305518808800,-0.305430385400,NaN,NaN,NaN,NaN
3.65,-0.933198361600,-0.933149331700,-0.303511875400,-0.303440510100,NaN,NaN,NaN,NaN
3.70,-0.933191765800,-0.933152225600,-0.301558035900,-0.301500549500,NaN,NaN,NaN,NaN
3.75,-0.933186391200,-0.933154552100,-0.299655368800,-0.299609151700,NaN,NaN,NaN,NaN
3.80,-0.933182018400,-0.933156419400,-0.297802020100,-0.297764934700,NaN,NaN,NaN,NaN
3.85,-0.933178466100,-0.933157915300,-0.295996203900,-0.295966503200,NaN,NaN,NaN,NaN
3.90,-0.933175584700,-0.933159111800,-0.294236202700,-0.294212461900,NaN,NaN,NaN,NaN
3.95,-0.933173250900,-0.933160067000,-0.292520366500,-0.292501426300,NaN,NaN,NaN,NaN
4.00,-0.933171363500,-0.933160828400,-0.290847112200,-0.290832031000,NaN,NaN,NaN,NaN
4.05,-0.933169839300,-0.933161434300,-0.289214921600,-0.289202936500,NaN,NaN,NaN,NaN
4.10,-0.933168610300,-0.933161915500,-0.287622340100,-0.287612834100,NaN,NaN,NaN,NaN
4.15,-0.933167620900,-0.933162297100,-0.286067974500,-0.286060449700,NaN,NaN,NaN,NaN
4.20,-0.933166825500,-0.933162599200,-0.284550490700,-0.284544546000,NaN,NaN,NaN,NaN
4.25,-0.933166187100,-0.933162837900,-0.283068611700,-0.283063924900,NaN,NaN,NaN,NaN
4.30,-0.933165675600,-0.933163026200,-0.281621115500,-0.281617427800,NaN,NaN,NaN,NaN
4.35,-0.933165266400,-0.933163174500,-0.280206832000,-0.280203936600,NaN,NaN,NaN,NaN
4.40,-0.933164939600,-0.933163291000,-0.278824641800,-0.278822373200,NaN,NaN,NaN,NaN
4.45,-0.933164679100,-0.933163382300,-0.277473473100,-0.277471699300,NaN,NaN,NaN,NaN
4.50,-0.933164471700,-0.933163453900,-0.276152299600,-0.276150915800,NaN,NaN,NaN,NaN
4.55,-0.933164307100,-0.933163509800,-0.274860139000,-0.274859061700,NaN,NaN,NaN,NaN
4.60,-0.933164176600,-0.933163553300,-0.273596050000,-0.273595213300,NaN,NaN,NaN,NaN
4.65,-0.933164073300,-0.933163587200,-0.272359131100,-0.272358482700,NaN,NaN,NaN,NaN
4.70,-0.933163991800,-0.933163613500,-0.271148518200,-0.271148016900,NaN,NaN,NaN,NaN
4.75,-0.933163927600,-0.933163633900,-0.269963383100,-0.269962996400,NaN,NaN,NaN,NaN
4.80,-0.933163877100,-0.933163649600,-0.268802931400,-0.268802633800,NaN,NaN,NaN,NaN
4.85,-0.933163837500,-0.933163661800,-0.267666401300,-0.267666172800,NaN,NaN,NaN,NaN
4.90,-0.933163806600,-0.933163671100,-0.266553061500,-0.266552886600,NaN,NaN,NaN,NaN
4.95,-0.933163782400,-0.933163678300,-0.265462210300,-0.265462076700,NaN,NaN,NaN,NaN
5.00,-0.933163763600,-0.933163683700,-0.264393173700,-0.264393071900,NaN,NaN,NaN,NaN
