R_angstrom,E_RHF_hartree,E_UHF_plain_hartree,E_UHF_mix_hartree,E_MP2_hartree,E_UMP2_hartree,E_FCI0_hartree,E_UMP2_mix_hartree,S2_RHF,S2_UHF_plain,S2_UHF_mix,S2_MP2_ref,S2_UMP2_ref,S2_FCI0,S2_UMP2_mix
0.40,-0.904361393300,-0.904361393300,-0.904361393300,-0.911436818200,-0.911436818200,-0.914149703600,-0.911436818200,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.45,-0.987513137000,-0.987513137000,-0.987513137000,-0.995258932400,-0.995258932400,-0.998415595400,-0.995258932400,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.50,-1.042996274000,-1.042996274000,-1.042996274000,-1.051486069200,-1.051486069200,-1.055159794200,-1.051486069200,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.55,-1.079050735800,-1.079050735800,-1.079050735800,-1.088359350300,-1.088359350300,-1.092629906500,-1.088359350300,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.60,-1.101128242100,-1.101128242100,-1.101128242100,-1.111332139100,-1.111332139100,-1.116286006500,-1.111332139100,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.65,-1.112996545600,-1.112996545600,-1.112996545600,-1.124174296300,-1.124174296300,-1.129904784200,-1.124174296300,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.70,-1.117349035000,-1.117349035000,-1.117349035000,-1.129581969700,-1.129581969700,-1.136189454200,-1.129581969700,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.75,-1.116151449100,-1.116151449100,-1.116151449100,-1.129524574900,-1.129524574900,-1.137117067400,-1.129524574900,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.80,-1.110850397700,-1.110850397700,-1.110850397700,-1.125453534200,-1.125453534200,-1.134147666800,-1.125453534200,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.85,-1.102510554200,-1.102510554200,-1.102510554200,-1.118439542100,-1.118439542100,-1.128361878700,-1.118439542100,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.90,-1.091914041300,-1.091914041300,-1.091914041300,-1.109271845900,-1.109271845900,-1.120560281800,-1.109271845900,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
0.95,-1.079636928600,-1.079636928600,-1.079636928600,-1.098534484800,-1.098534484800,-1.111339418100,-1.098534484800,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
1.00,-1.066108649700,-1.066108649700,-1.066108649700,-1.086665365100,-1.086665365100,-1.101150330700,-1.086665365100,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
1.05,-1.051656756100,-1.051656756100,-1.051656756100,-1.074000658300,-1.074000658300,-1.090342176800,-1.074000658300,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
1.10,-1.036538875500,-1.036538875500,-1.036538875500,-1.060806453600,-1.060806453600,-1.079192945400,-1.060806453600,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
1.15,-1.020964144100,-1.020964144100,-1.020964144100,-1.047299962700,-1.047299962700,-1.067929659500,-1.047299976400,0.000000,0.000000,0.000000,0.000000,0.000000,NaN,0.000000
1.20,-1.005106707100,-1.005106707100,-1.006372512000,-1.033662880300,-1.033662880300,-1.056740746800,-1.026066664100,0.000000,0.000000,0.147000,0.000000,0.000000,NaN,0.147000
1.25,-0.989113814600,-0.989113814600,-0.994190154800,-1.020049416200,-1.020049416200,-1.045783145300,-1.008504031000,0.000000,0.000000,0.281000,0.000000,0.000000,NaN,0.281000
1.30,-0.973110616400,-0.973110616400,-0.984027615500,-1.006591079400,-1.006591079400,-1.035186267200,-0.994420441200,0.000000,0.000000,0.394000,0.000000,0.000000,NaN,0.394000
1.35,-0.957203175700,-0.957203175700,-0.975553787000,-0.993399713100,-0.993399713100,-1.025054363300,-0.983090896800,0.000000,0.000000,0.489000,0.000000,0.000000,NaN,0.489000
1.40,-0.941480655300,-0.941480655300,-0.968491290200,-0.980569710200,-0.980569710200,-1.015468250200,-0.973950726900,0.000000,0.000000,0.570000,0.000000,0.000000,NaN,0.570000
1.45,-0.926017176300,-0.926017176300,-0.962607379200,-0.968179897400,-0.968179897400,-1.006486932700,-0.966557267200,0.000000,0.000000,0.638000,0.000000,0.000000,NaN,0.638000
1.50,-0.910873555200,-0.910873555200,-0.957706794800,-0.956295283800,-0.956295283800,-0.998149354400,-0.960561109100,0.000000,0.000000,0.695000,0.000000,0.000000,NaN,0.695000
1.55,-0.896098958900,-0.896098958900,-0.953625927400,-0.944968709800,-0.944968709800,-0.990476342000,-0.955686044000,0.000000,0.000000,0.743000,0.000000,0.000000,NaN,0.743000
1.60,-0.881732450500,-0.881732450500,-0.950227913500,-0.934242371400,-0.934242371400,-0.983472730100,-0.951712976000,0.000000,0.000000,0.784000,0.000000,0.000000,NaN,0.784000
1.65,-0.867804384600,-0.867804384600,-0.947398454400,-0.924149183100,-0.924149183100,-0.977129617200,-0.948467629200,0.000000,0.000000,0.818000,0.000000,0.000000,NaN,0.818000
1.70,-0.854337627500,-0.854337627500,-0.945042230600,-0.914713959300,-0.914713959300,-0.971426689600,-0.945810988800,0.000000,0.000000,0.847000,0.000000,0.000000,NaN,0.847000
1.75,-0.841348599000,-0.841348599000,-0.943079833900,-0.905954417700,-0.905954417700,-0.966334546100,-0.943631853700,0.000000,0.000000,0.871000,0.000000,0.000000,NaN,0.871000
1.80,-0.828848148400,-0.828848148400,-0.941445156800,-0.897882022600,-0.897882022600,-0.961816954000,-0.941841006800,0.000000,0.000000,0.892000,0.000000,0.000000,NaN,0.892000
1.85,-0.816842292700,-0.816842292700,-0.940083183700,-0.890502699500,-0.890502699500,-0.957832969100,-0.940366653200,0.000000,0.000000,0.909000,0.000000,0.000000,NaN,0.909000
1.90,-0.805332845300,-0.805332845300,-0.938948135600,-0.883817453500,-0.883817453500,-0.954338855200,-0.939150844000,0.000000,0.000000,0.923000,0.000000,0.000000,NaN,0.923000
1.95,-0.794317965900,-0.794317965900,-0.938001919200,-0.877822920600,-0.877822920600,-0.951289760100,-0.938146668600,0.000000,0.000000,0.936000,0.000000,0.000000,NaN,0.936000
2.00,-0.783792654700,-0.783792654700,-0.937212834700,-0.872511877200,-0.872511877200,-0.948641113500,-0.937316047100,0.000000,0.000000,0.946000,0.000000,0.000000,NaN,0.946000
2.05,-0.773749208800,-0.773749208800,-0.936554503300,-0.867873721100,-0.867873721100,-0.946349738700,-0.936627989400,0.000000,0.000000,0.955000,0.000000,0.000000,NaN,0.955000
2.10,-0.764177652000,-0.764177652000,-0.936004975600,-0.863894933600,-0.863894933600,-0.944374682500,-0.936057217600,0.000000,0.000000,0.962000,0.000000,0.000000,NaN,0.962000
2.15,-0.755066141200,-0.755066141200,-0.935545991600,-0.860559521700,-0.860559521700,-0.942677787100,-0.935583073300,0.000000,0.000000,0.968000,0.000000,0.000000,NaN,0.968000
2.20,-0.746401350300,-0.746401350300,-0.935162366000,-0.857849439200,-0.857849439200,-0.941224035100,-0.935188644300,0.000000,0.000000,0.973000,0.000000,0.000000,NaN,0.973000
2.25,-0.738168827600,-0.738168827600,-0.934841475200,-0.855744977800,-0.855744977800,-0.939981706700,-0.934860066300,0.000000,0.000000,0.977000,0.000000,0.000000,NaN,0.977000
2.30,-0.730353321700,-0.730353321700,-0.934572830200,-0.854225124200,-0.854225124200,-0.938922387500,-0.934585959000,0.000000,0.000000,0.981000,0.000000,0.000000,NaN,0.981000
2.35,-0.722939072300,-0.722939072300,-0.934347719700,-0.853267875900,-0.853267875900,-0.938020866200,-0.934356974500,0.000000,0.000000,0.984000,0.000000,0.000000,NaN,0.984000
2.40,-0.715910060800,-0.715910060800,-0.934158910900,-0.852850514000,-0.852850514000,-0.937254954500,-0.934165421700,0.000000,0.000000,0.987000,0.000000,0.000000,NaN,0.987000
2.45,-0.709250219600,-0.709250219600,-0.934000400300,-0.852949831200,-0.852949831200,-0.936605257900,-0.934004971000,0.000000,0.000000,0.989000,0.000000,0.000000,NaN,0.989000
2.50,-0.702943600100,-0.702943600100,-0.933867204800,-0.853542318000,-0.853542318000,-0.936054921500,-0.933870406300,0.000000,0.000000,0.991000,0.000000,0.000000,NaN,0.991000
2.55,-0.696974501100,-0.696974501100,-0.933755186800,-0.854604312000,-0.854604312000,-0.935589366600,-0.933757424000,0.000000,0.000000,0.992000,0.000000,0.000000,NaN,0.992000
2.60,-0.691327561600,-0.691327561600,-0.933660909000,-0.856112115700,-0.856112115700,-0.935196032400,-0.933662468400,0.000000,0.000000,0.994000,0.000000,0.000000,NaN,0.994000
2.65,-0.685987822100,-0.685987822100,-0.933581513500,-0.858042091400,-0.858042091400,-0.934864130500,-0.933582597600,0.000000,0.000000,0.995000,0.000000,0.000000,NaN,0.995000
2.70,-0.680940761100,-0.680940761100,-0.933514620600,-0.860370739000,-0.860370739000,-0.934584417500,-0.933515372100,0.000000,0.000000,0.996000,0.000000,0.000000,NaN,0.996000
2.75,-0.676172310900,-0.676172310900,-0.933458246000,-0.863074764500,-0.863074764500,-0.934348989300,-0.933458765500,0.000000,0.000000,0.996000,0.000000,0.000000,NaN,0.996000
2.80,-0.671668860200,-0.671668860200,-0.933410732200,-0.866131144600,-0.866131144600,-0.934151097300,-0.933411090300,0.000000,0.000000,0.997000,0.000000,0.000000,NaN,0.997000
2.85,-0.667417246200,-0.667417246200,-0.933370691500,-0.869517191400,-0.869517191400,-0.933984986000,-0.933370937500,0.000000,0.000000,0.997000,0.000000,0.000000,NaN,0.997000
2.90,-0.663404742200,-0.663404742200,-0.933336959500,-0.873210619700,-0.873210619700,-0.933845752400,-0.933337127900,0.000000,0.000000,0.998000,0.000000,0.000000,NaN,0.998000
2.95,-0.659619043100,-0.659619043100,-0.933308557300,-0.877189618100,-0.877189618100,-0.933729222500,-0.933308672300,0.000000,0.000000,0.998000,0.000000,0.000000,NaN,0.998000
3.00,-0.656048251800,-0.656048251800,-0.933284660000,-0.881432924100,-0.881432924100,-0.933631846200,-0.933284738200,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.05,-0.652680867400,-0.652680867400,-0.933264571000,-0.885919900200,-0.885919900200,-0.933550606600,-0.933264624000,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.10,-0.649505776600,-0.649505776600,-0.933247701200,-0.890630611000,-0.890630611000,-0.933482942000,-0.933247737100,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.15,-0.646512248400,-0.646512248400,-0.933233551600,-0.895545896600,-0.895545896600,-0.933426679700,-0.933233575800,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.20,-0.643689931800,-0.643689931800,-0.933221699100,-0.900647441400,-0.900647441400,-0.933379979000,-0.933221715300,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.25,-0.641028856400,-0.641028856400,-0.933211784800,-0.905917834300,-0.905917834300,-0.933341282400,-0.933211795600,0.000000,0.000000,0.999000,0.000000,0.000000,NaN,0.999000
3.30,-0.638519434500,-0.638519434500,-0.933203503900,-0.911340619500,-0.911340619500,-0.933309274100,-0.933203511100,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.35,-0.636152464300,-0.636152464300,-0.933196598100,-0.916900335100,-0.916900335100,-0.933282844500,-0.933196602900,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.40,-0.633919133900,-0.633919133900,-0.933190848100,-0.922582539600,-0.922582539600,-0.933261059100,-0.933190851200,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.45,-0.631811024100,-0.631811024100,-0.933186068100,-0.928373825300,-0.928373825300,-0.933243132900,-0.933186070200,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.50,-0.629820111100,-0.629820111100,-0.933182101100,-0.934261818300,-0.934261818300,-0.933228407200,-0.933182102500,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.55,-0.627938767100,-0.627938767100,-0.933178814000,-0.940235167600,-0.940235167600,-0.933216330900,-0.933178814900,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.60,-0.626159759100,-0.626159759100,-0.933176094800,-0.946283521600,-0.946283521600,-0.933206443600,-0.933176095400,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.65,-0.624476246300,-0.624476246300,-0.933173849000,-0.952397496100,-0.952397496100,-0.933198361600,-0.933173849400,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.70,-0.622881774800,-0.622881774800,-0.933171997200,-0.958568633600,-0.958568633600,-0.933191765800,-0.933171997400,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.75,-0.621370270300,-0.621370270300,-0.933170472600,-0.964789356000,-0.964789356000,-0.933186391200,-0.933170472800,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.80,-0.619936029600,-0.619936029600,-0.933169219500,-0.971052912700,-0.971052912700,-0.933182018400,-0.933169219600,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.85,-0.618573709500,-0.618573709500,-0.933168191100,-0.977353325300,-0.977353325300,-0.933178466100,-0.933168191200,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.90,-0.617278314500,-0.617278314500,-0.933167348500,-0.983685330200,-0.983685330200,-0.933175584700,-0.933167348500,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
3.95,-0.616045183600,-0.616045183600,-0.933166659100,-0.990044320600,-0.990044320600,-0.933173250900,-0.933166659200,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
4.00,-0.614869975300,-0.614869975300,-0.933166096100,-0.996426289700,-0.996426289700,-0.933171363500,-0.933166096100,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
4.05,-0.613748653000,-0.613748653000,-0.933165636900,-1.002827774200,-1.002827774200,-0.933169839300,-0.933165636900,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
4.10,-0.612677468500,-0.612677468500,-0.933165263000,-1.009245800900,-1.009245800900,-0.933168610300,-0.933165263000,0.000000,0.000000,1.000000,0.000000,0.000000,NaN,1.000000
